Date;Open;High;Low;Close;Adj Close;Volume
2001-10-09;27,325000762939453;27,334999084472656;26,075000762939453;26,075000762939453;14,730257987976074;20811200
2001-10-10;26,299999237060547;27,825000762939453;26,209999084472656;27,399999618530273;15,478769302368164;15884600
2001-10-11;27,399999618530273;27,7450008392334;27,049999237060547;27,299999237060547;15,422272682189941;16259000
2001-10-12;27,075000762939453;27,075000762939453;26,049999237060547;26,5049991607666;14,973163604736328;14523600
2001-10-15;26,950000762939453;27,799999237060547;26,25;27,774999618530273;15,69061279296875;22450200
2001-10-16;28,225000381469727;29,200000762939453;28,170000076293945;28,854999542236328;16,300722122192383;20734800
2001-10-17;29,225000381469727;29,3799991607666;28,375;28,549999237060547;16,128421783447266;15595400
2001-10-18;28,55500030517578;28,8700008392334;28,375;28,5;16,100177764892578;9835400
2001-10-19;28,475000381469727;28,735000610351562;27,649999618530273;28,514999389648438;16,10865592956543;11661200
2001-10-22;28,520000457763672;29,524999618530273;28,514999389648438;29,204999923706055;16,498437881469727;11244400
2001-10-23;29,399999618530273;29,950000762939453;29,360000610351562;29,454999923706055;16,639677047729492;13118400
2001-10-24;29,75;30,0049991607666;29,635000228881836;29,975000381469727;16,93343734741211;11386800
2001-10-25;29,575000762939453;30,600000381469727;29,434999465942383;30,395000457763672;17,170700073242188;13377200
2001-10-26;30,325000762939453;30,68000030517578;30,209999084472656;30,325000762939453;17,131153106689453;9899200
2001-10-29;30,25;30,274999618530273;29,579999923706055;29,75;16,80633544921875;11741800
2001-10-30;29,25;29,950000762939453;29,0049991607666;29,5;16,665090560913086;11570800
2001-10-31;29,975000381469727;30,125;29,360000610351562;29,4950008392334;16,662269592285156;9537200
2001-11-01;29,600000381469727;30,25;29,174999237060547;29,975000381469727;16,93343734741211;11846400
2001-11-02;29,950000762939453;30,610000610351562;29,834999084472656;30,434999465942383;17,193300247192383;9253200
2001-11-05;30,674999237060547;31,09000015258789;30,399999618530273;30,514999389648438;17,238487243652344;9230200
2001-11-06;30,514999389648438;31,05500030517578;30,5;31,05500030517578;17,54354476928711;9783600
2001-11-07;31,0;31,635000228881836;30,954999923706055;31,375;17,724319458007812;9948000
2001-11-08;31,375;32,04999923706055;31,3700008392334;31,549999237060547;17,82317352294922;10949200
2001-11-09;31,399999618530273;31,770000457763672;31,225000381469727;31,524999618530273;17,80905532836914;8452400
2001-11-12;31,399999618530273;31,6200008392334;30,850000381469727;31,510000228881836;17,800588607788086;9694400
2001-11-13;31,674999237060547;32,025001525878906;31,649999618530273;31,729999542236328;17,92487144470215;8431800
2001-11-14;32,0;32,04999923706055;31,4950008392334;31,75;17,936174392700195;7892600
2001-11-15;31,600000381469727;31,915000915527344;31,485000610351562;31,6200008392334;17,862720489501953;9757600
2001-11-16;31,5049991607666;31,510000228881836;31,059999465942383;31,270000457763672;17,66499900817871;10821400
2001-11-19;31,385000228881836;32,0;31,375;31,975000381469727;18,06326675415039;8564200
2001-11-20;31,674999237060547;31,875;31,53499984741211;31,7549991607666;17,938987731933594;7294000
2001-11-21;31,725000381469727;32,23500061035156;31,674999237060547;31,790000915527344;17,958757400512695;8722800
2001-11-23;31,850000381469727;32,494998931884766;31,815000534057617;32,494998931884766;18,357030868530273;4089600
2001-11-26;32,25;32,494998931884766;32,20000076293945;32,46500015258789;18,340087890625;7157600
2001-11-27;32,04999923706055;32,185001373291016;31,520000457763672;31,739999771118164;17,930509567260742;13207400
