;num_pontos;janela_rsi;ordem;lookback;break_min;d_max;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades;;
113;2;35;3;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;15,31051665;0,906885814;-11,69996631;42;;35-2-50-3-4-in_sample_3_1x
114;2;35;3;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;6,15413416;0,445021419;-16,85180643;32;;35-2-100-3-3-in_sample_3_1x
115;2;35;3;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;8,673745374;0,651400615;-10,28865635;30;;35-2-100-3-4-in_sample_3_1x
116;2;35;4;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;7,837195644;0,539473165;-17,39362377;33;;35-2-50-4-3-in_sample_3_1x
117;2;35;4;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;7,536092304;0,519565973;-12,16397891;34;;35-2-50-4-4-in_sample_3_1x
118;2;35;4;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;11,17857292;0,745620637;-11,84783348;30;;35-2-100-4-3-in_sample_3_1x
119;2;35;4;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;9,091291078;0,657746979;-10,28866201;28;;35-2-100-4-4-in_sample_3_1x
120;2;42;2;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;14,10462462;0,775567934;-14,83453696;54;;42-2-50-2-3-in_sample_3_1x
121;2;42;2;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;20,88842297;1,194490864;-9,999290486;48;;42-2-50-2-4-in_sample_3_1x
122;2;42;2;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;12,91904787;0,793602569;-18,66267747;38;;42-2-100-2-3-in_sample_3_1x
123;2;42;2;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;6,69603634;0,482629294;-24,67960998;34;;42-2-100-2-4-in_sample_3_1x
124;2;42;3;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;9,810743136;0,628619414;-18,68676544;39;;42-2-50-3-3-in_sample_3_1x
125;2;42;3;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;8,924168246;0,653560562;-10,81548818;31;;42-2-50-3-4-in_sample_3_1x
126;2;42;3;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;9,866281072;0,657315367;-11,94824601;33;;42-2-100-3-3-in_sample_3_1x
127;2;42;3;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;6,891633558;0,520306562;-14,68250693;29;;42-2-100-3-4-in_sample_3_1x
128;2;42;4;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;9,538243075;0,622640891;-23,53478313;31;;42-2-50-4-3-in_sample_3_1x
129;2;42;4;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;7,468438866;0,631640971;-9,07853036;26;;42-2-50-4-4-in_sample_3_1x
130;2;42;4;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;5,340605126;0,388973177;-19,10208835;27;;42-2-100-4-3-in_sample_3_1x
131;2;42;4;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;5,803280068;0,52363643;-12,5983406;21;;42-2-100-4-4-in_sample_3_1x
132;2;49;2;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;6,515420967;0,390933945;-17,39648718;53;;49-2-50-2-3-in_sample_3_1x
133;2;49;2;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;8,782407959;0,595971504;-15,45290584;46;;49-2-50-2-4-in_sample_3_1x
134;2;49;2;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;7,852739368;0,523371745;-17,28298163;35;;49-2-100-2-3-in_sample_3_1x
135;2;49;2;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;14,1473384;0,911809956;-16,62449718;32;;49-2-100-2-4-in_sample_3_1x
136;2;49;3;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;4,321516208;0,292644932;-26,15710254;42;;49-2-50-3-3-in_sample_3_1x
137;2;49;3;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;4,267667882;0,321665982;-23,13525381;39;;49-2-50-3-4-in_sample_3_1x
138;2;49;3;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;3,987924803;0,282871634;-20,5259628;30;;49-2-100-3-3-in_sample_3_1x
139;2;49;3;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;10,23820396;0,748035366;-17,29788631;28;;49-2-100-3-4-in_sample_3_1x
140;2;49;4;50;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;-0,413358286;-0,029320315;-29,70463334;34;;49-2-50-4-3-in_sample_3_1x
141;2;49;4;50;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;-5,54360206;-0,455844749;-31,4154205;31;;49-2-50-4-4-in_sample_3_1x
142;2;49;4;100;3;2;6;0,02;0,05;AAPL;in_sample_3_1x;2,818139508;0,201105155;-17,84491486;28;;49-2-100-4-3-in_sample_3_1x
143;2;49;4;100;4;2;6;0,02;0,05;AAPL;in_sample_3_1x;9,510244939;0,657641438;-16,45553826;26;;49-2-100-4-4-in_sample_3_1x
144;2;28;2;50;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;44,94038803;0,911990602;-39,25758791;130;;28-2-50-2-3-in_sample_1_1x
145;2;28;2;50;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;31,00260527;0,772841508;-46,69999128;121;;28-2-50-2-4-in_sample_1_1x
146;2;28;2;100;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;27,89266863;0,737306439;-33,06516195;98;;28-2-100-2-3-in_sample_1_1x
147;2;28;2;100;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;21,64640696;0,619449708;-38,31810557;91;;28-2-100-2-4-in_sample_1_1x
148;2;28;3;50;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;31,05601055;0,717727165;-33,49183899;116;;28-2-50-3-3-in_sample_1_1x
149;2;28;3;50;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;33,66600282;0,894392574;-22,27805179;108;;28-2-50-3-4-in_sample_1_1x
150;2;28;3;100;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;27,92326446;0,787494906;-33,06516427;88;;28-2-100-3-3-in_sample_1_1x
151;2;28;3;100;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;23,22200139;0,687592035;-35,60051364;84;;28-2-100-3-4-in_sample_1_1x
152;2;28;4;50;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;19,75567092;0,572816477;-32,21828084;92;;28-2-50-4-3-in_sample_1_1x
153;2;28;4;50;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;29,0560595;0,902717474;-22,27804522;87;;28-2-50-4-4-in_sample_1_1x
154;2;28;4;100;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;27,56359321;0,830615529;-33,06516209;75;;28-2-100-4-3-in_sample_1_1x
155;2;28;4;100;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;22,16501909;0,716553708;-35,60050522;74;;28-2-100-4-4-in_sample_1_1x
156;2;35;2;50;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;84,21872729;1,418503567;-24,12465346;131;;35-2-50-2-3-in_sample_1_1x
157;2;35;2;50;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;80,67523211;1,460343043;-31,39709056;122;;35-2-50-2-4-in_sample_1_1x
158;2;35;2;100;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;75,57030896;1,502157388;-15,99489279;106;;35-2-100-2-3-in_sample_1_1x
159;2;35;2;100;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;59,63874787;1,368368422;-19,46556769;103;;35-2-100-2-4-in_sample_1_1x
160;2;35;3;50;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;66,23447209;1,281030165;-22,60289463;113;;35-2-50-3-3-in_sample_1_1x
161;2;35;3;50;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;55,28397451;1,228761075;-34,84296566;107;;35-2-50-3-4-in_sample_1_1x
162;2;35;3;100;3;2;6;0,02;0,05;ADBE;in_sample_1_1x;60,46585784;1,376293301;-15,99488609;95;;35-2-100-3-3-in_sample_1_1x
163;2;35;3;100;4;2;6;0,02;0,05;ADBE;in_sample_1_1x;43,72377656;1,139942636;-21,36679451;93;;35-2-100-3-4-in_sample_1_1x
